,Product_Name,Alcohol_Percent,Alcohol_Capcity,Alcohol_Price
0,Lagavulin 16 Year Old,43,70cl,81.75
1,Ardbeg Heavy Vapours,46,70cl,120
2,Ledaig 18 Year Old,46.3,70cl,84.95
3,Kilchoman Machir Bay,46,70cl,44.95
4,Bunnahabhain 12 Year Old,46.3,70cl,44.75
5,Balvenie 12 Year Old DoubleWood,40,70cl,47.95
6,Laphroaig 10 Year Old Sherry Oak Finish,48,70cl,51.95
7,Macallan 12 Year Old Double Cask,40,70cl,77.45
8,Glenfiddich 15 Year Old Solera,40,20cl,12.95
9,Kilchoman Fino Sherry Cask,50,70cl,79.95
10,Oban 14 Year Old,43,70cl,76.95
11,Caol Ila 12 Year Old,43,70cl,46.95
12,Personalised Highland Special Reserve Single Malt,48,70cl,59.95
13,Dalmunach 6 Year Old,60,70cl,59.95
14,Bunnahabhain Toiteach A Dha,46.3,70cl,44.95
15,Edradour 10 Year Old,40,70cl,44.45
16,Arran 10 Year Old,46,70cl,40.95
17,Ardbeg Uigeadail,54.2,70cl,66.95
18,Glen Scotia 11 Year Old,54.7,70cl,64.95
19,Lagavulin 13 Year Old,56.1,70cl,160
20,Dalmore Port Wood Reserve,46.5,70cl,92.95
21,Port Askaig 100° Proof,57.1,70cl,56.45
22,Glenlivet 18 Year Old Batch Reserve,40,70cl,103
23,Laphroaig 10 Year Old,40,70cl,39.95
24,Talisker 10 Year Old,45.8,70cl,44.95
25,Aberlour 11 Year Old,49.4,70cl,69.95
26,Lagavulin 2006 Distillers Edition,43,70cl,105
27,Smokehead Unfiltered,46,70cl,37.45
28,Mortlach 12 Year Old,43.4,70cl,54.95
29,Port Charlotte 10 Year Old,50,70cl,56.25
30,Balvenie 14 Year Old,43,70cl,65.95
31,Glenfiddich 21 Year Old,40,70cl,173
32,Glenfarclas 15 Year Old,46,70cl,73.45
33,Bunnahabhain 12 Year Old Cask Strength,56.6,70cl,76.95
34,Nc'nean Organic Single Malt,46,70cl,48.75
35,Dalmore 15 Year Old,40,70cl,106
36,Dalwhinnie 15 Year Old,43,70cl,44.95
37,Ben Nevis 10 Year Old,46,70cl,56.25
38,Laphroaig 10 Year Old,56.5,70cl,75.75
39,Bunnahabhain Canasta Cask Matured,51.2,70cl,94.95
40,Lagavulin 9 Year Old,46,70cl,79.95
41,Deanston 18 Year Old,46.3,70cl,89.95
42,Glenlivet 2007,58,50cl,79.95
43,Macallan 15 Year Old Double Cask,43,70cl,155
44,Kilchoman Loch Gorm,46,70cl,72.95
45,Oban Bay Reserve,43,70cl,67.95
46,Glenmorangie 18 Year Old,43,70cl,112
47,Clynelish 14 Year Old,46,70cl,49.95
48,Blair Athol 12 Year Old,43,70cl,48.95
49,Glenfiddich Project XX,47,70cl,50.75
50,Dalmore 12 Year Old,40,70cl,63.45
51,Lochlea Cask Strength,60.1,70cl,64.95
52,Glenfiddich 23 Year Old,40,70cl,240
53,Glenallachie 15 Year Old,46,70cl,71.75
54,Royal Lochnagar 12 Year Old,40,70cl,40.95
55,Aberlour 14 Year Old,40,70cl,59.95
56,Tobermory 12 Year Old,46.3,70cl,42.95
57,Clynelish Reserve,51.2,70cl,42.95
58,Bowmore 15 Year Old,43,70cl,65.95
59,Macallan 12 Year Old,40,70cl,89.95
60,Dailuaine 16 Year Old,43,70cl,59.95
61,Laphroaig 10 Year Old,58.6,70cl,73.95
62,Lagavulin Distillers Edition,43,70cl,91.95
63,Cardhu Gold Reserve,40,70cl,42.95
64,Glendronach 15 Year Old Revival,46,70cl,76.95
65,Glenfiddich 12 Year Old,40,70cl,36.95
66,Glenfarclas 10 Year Old,40,70cl,39.95
67,Port Charlotte 2013 PMC:01,54.5,70cl,108
68,Highland Park 12 Year Old with Cask Strength Mini Gift Set,41.6,75cl,38.95
69,Arran Sherry Cask,55.8,70cl,57.45
70,Ardbeg 10 Year Old,46,70cl,47.95
71,Kilchoman Sanaig,46,70cl,54.45
72,Deanston 12 Year Old,46.3,70cl,41.95
73,Benrinnes 15 Year Old,43,70cl,53.75
74,Glentauchers 2007,58.7,50cl,74.95
75,Mortlach 15 Year Old,46,70cl,87.95
76,Glenfiddich Fire and Cane,43,70cl,44.95
77,Laphroaig Quarter Cask,48,70cl,42.45
78,Glenfiddich 18 Year Old,40,70cl,87.75
79,Kilchoman UK Small Batch,49.8,70cl,57.95
80,Isle of Raasay Single Malt Batch R-01.2,46.4,70cl,48.95
81,Clynelish 1995,51.5,70cl,375
82,Arran Amarone Cask Finish,50,70cl,50.95
83,Oban Little Bay,43,70cl,56.95
